City,State,Population
Norman city, Oklahoma,130046
Columbia city, Missouri,129330
Abilene city, Texas,129043
Athens-Clarke County unified government (balance), Georgia,128628
Pearland city, Texas,127736
Clovis city, California,125826
Topeka city, Kansas,125475
College Station city, Texas,125192
Simi Valley city, California,125113
Allentown city, Pennsylvania,124880
West Palm Beach city, Florida,124130
Thousand Oaks city, California,123463
Vallejo city, California,122807
Wilmington city, North Carolina,122698
Rochester city, Minnesota,122413
Concord city, California,122315
Lakeland city, Florida,122264
North Charleston city, South Carolina,121469
Lafayette city, Louisiana,121467
Arvada city, Colorado,121414
Independence city, Missouri,120922
Billings city, Montana,120864
Fairfield city, California,120768
Hartford city, Connecticut,119669
Ann Arbor city, Michigan,119381
Broken Arrow city, Oklahoma,119194
Berkeley city, California,118962
Cambridge city, Massachusetts,118214
Richardson city, Texas,117435
Antioch city, California,117096
High Point city, North Carolina,116926
Clearwater city, Florida,116850
League City city, Texas,116320
Odessa city, Texas,115743
Manchester city, New Hampshire,115474
Evansville city, Indiana,115332
Waterbury city, Connecticut,114990
West Jordan city, Utah,114908
Las Cruces city, New Mexico,114892
Westminster city, Colorado,114875
Lowell city, Massachusetts,114296
Nampa city, Idaho,114268
Richmond city, California,114106
Pompano Beach city, Florida,113619
Carlsbad city, California,113495
Menifee city, California,113433
Provo city, Utah,113343
Elgin city, Illinois,113310
Greeley city, Colorado,112609
Springfield city, Illinois,112544
Beaumont city, Texas,112193
Lansing city, Michigan,112115
Murrieta city, California,111878
Goodyear city, Arizona,111805
Allen city, Texas,111620
Tuscaloosa city, Alabama,111338
Everett city, Washington,111180
Pueblo city, Colorado,111077
New Braunfels city, Texas,110958
South Fulton city, Georgia,110920
Miami Gardens city, Florida,110717
Gresham city, Oregon,110685
Temecula city, California,110682
Rio Rancho city, New Mexico,110660
Peoria city, Illinois,110460
Tyler city, Texas,110327
Sparks city, Nevada,110323
Concord city, North Carolina,110119
Santa Maria city, California,109987
San Buenaventura (Ventura) city, California,109058
Buckeye city, Arizona,108909
Downey city, California,108816
Sugar Land city, Texas,108515
Costa Mesa city, California,108354
Conroe city, Texas,108248
Spokane Valley city, Washington,108235
Davie town, Florida,107799
Hillsboro city, Oregon,107730
Jurupa Valley city, California,107321
Centennial city, Colorado,106883
Boulder city, Colorado,105898
Dearborn city, Michigan,105811
Edinburg city, Texas,105799
Sandy Springs city, Georgia,105793
Green Bay city, Wisconsin,105744
West Covina city, California,105617
Brockton city, Massachusetts,104890
St. George city, Utah,104578
Bend city, Oregon,104557
Renton city, Washington,104491
Lee's Summit city, Missouri,104184
Fishers city, Indiana,104094
El Monte city, California,103794
South Bend city, Indiana,103395
Rialto city, California,103391
El Cajon city, California,102991
Inglewood city, California,102865
Burbank city, California,102755
Wichita Falls city, Texas,102691
Vacaville city, California,102526
Carmel city, Indiana,102296
Palm Coast city, Florida,102113
Fayetteville city, Arkansas,101680
Quincy city, Massachusetts,101597
San Mateo city, California,101327
Chico city, California,101301
Lynn city, Massachusetts,101241
Albany city, New York,101228
Yuma city, Arizona,100858
New Bedford city, Massachusetts,100695
Suffolk city, Virginia,100659
Hesperia city, California,100633
Davenport city, Iowa,100354
Boca Raton city, Florida,99974
Daly City city, California,99833
San Angelo city, Texas,99262
Deltona city, Florida,98739
Longmont city, Colorado,98630
Vista city, California,98344
Kenosha city, Wisconsin,98211
Edmond city, Oklahoma,98103
Norwalk city, California,98078
Tracy city, California,98010
Federal Way city, Washington,97701
Fort Myers city, Florida,97372
Roanoke city, Virginia,97171
Beaverton city, Oregon,96945
Sunrise city, Florida,96808
Portsmouth city, Virginia,96793
Yakima city, Washington,96750
Plantation city, Florida,96548
Georgetown city, Texas,96312
Lawrence city, Kansas,96207
Orem city, Utah,95519
Mount Pleasant town, South Carolina,95232
Asheville city, North Carolina,95056
Reading city, Pennsylvania,94903
Bellingham city, Washington,94720
San Marcos city, California,94188
O'Fallon city, Missouri,94074
Fall River city, Massachusetts,93840
Merced city, California,93692
Avondale city, Arizona,93545
Chino city, California,93114
