City,State,Population
Lancaster city, Ohio,41422
Coppell city, Texas,41404
Milton city, Georgia,41383
Midlothian city, Texas,41352
San Bruno city, California,41327
Oviedo city, Florida,41231
Reynoldsburg city, Ohio,41220
Marlborough city, Massachusetts,41179
Owasso city, Oklahoma,41162
Apache Junction city, Arizona,41153
Rosenberg city, Texas,41104
Covington city, Kentucky,40972
Romeoville village, Illinois,40955
Crystal Lake city, Illinois,40861
Friendswood city, Texas,40826
Cedar Falls city, Iowa,40737
Belleville city, Illinois,40726
State College borough, Pennsylvania,40687
Florence city, South Carolina,40609
Plant City city, Florida,40571
Annapolis city, Maryland,40552
Lake Stevens city, Washington,40521
Westfield city, Massachusetts,40509
Cape Girardeau city, Missouri,40508
West Fargo city, North Dakota,40400
Windsor town, Colorado,40349
Amherst Town city, Massachusetts,40277
Germantown city, Tennessee,40267
New Berlin city, Wisconsin,40260
Lancaster city, Texas,40215
DeKalb city, Illinois,40211
Peachtree City city, Georgia,40193
Findlay city, Ohio,40139
Valley Stream village, New York,40007
Bartlett village, Illinois,39992
Rancho Palos Verdes city, California,39980
Rexburg city, Idaho,39975
Wausau city, Wisconsin,39968
Maplewood city, Minnesota,39958
Cedar City city, Utah,39942
Lake Oswego city, Oregon,39924
Dover city, Delaware,39894
Norwich city, Connecticut,39881
Bettendorf city, Iowa,39858
Lathrop city, California,39857
Fort Lee borough, New Jersey,39700
Menomonee Falls village, Wisconsin,39700
Myrtle Beach city, South Carolina,39697
Hutchinson city, Kansas,39662
La Vergne city, Tennessee,39597
Royal Palm Beach village, Florida,39489
Georgetown city, Kentucky,39462
Hobbs city, New Mexico,39386
Kearny town, New Jersey,39370
Prattville city, Alabama,39318
Hurst city, Texas,39304
Tooele city, Utah,39263
Grants Pass city, Oregon,39149
Pine Bluff city, Arkansas,39123
La Quinta city, California,39081
Douglasville city, Georgia,39049
Culver City city, California,39041
Spartanburg city, South Carolina,39040
Issaquah city, Washington,38977
Carol Stream village, Illinois,38966
Winter Springs city, Florida,38941
Duncanville city, Texas,38883
Stanton city, California,38815
Quincy city, Illinois,38803
Hutto city, Texas,38765
Warren city, Ohio,38751
Aventura city, Florida,38741
Copperas Cove city, Texas,38696
Riviera Beach city, Florida,38663
Lincoln Park city, Michigan,38646
Roy city, Utah,38592
Keizer city, Oregon,38564
American Fork city, Utah,38549
Portage city, Indiana,38513
Braintree Town city, Massachusetts,38490
Woodstock city, Georgia,38473
Atlantic City city, New Jersey,38464
Phenix City city, Alabama,38441
Lewiston city, Maine,38404
Chelsea city, Massachusetts,38319
Socorro city, Texas,38238
Calexico city, California,38224
Urbana city, Illinois,38209
Adelanto city, California,38187
Northglenn city, Colorado,38164
East Point city, Georgia,38115
Bartlesville city, Oklahoma,38114
Rome city, Georgia,38111
Weatherford city, Texas,38109
Hilton Head Island town, South Carolina,38097
Vestavia Hills city, Alabama,38020
Hot Springs city, Arkansas,37994
San Luis city, Arizona,37966
Westerville city, Ohio,37958
Longview city, Washington,37925
Parkland city, Florida,37911
Estero village, Florida,37908
Park Ridge city, Illinois,37897
Sun Prairie city, Wisconsin,37890
Monroe city, North Carolina,37797
Streamwood village, Illinois,37780
Kearns metro township, Utah,37767
San Gabriel city, California,37732
Wheeling village, Illinois,37725
Tupelo city, Mississippi,37675
Holyoke city, Massachusetts,37628
Clovis city, New Mexico,37612
Benton city, Arkansas,37558
Montclair city, California,37545
Bell Gardens city, California,37467
Oregon City city, Oregon,37351
New Albany city, Indiana,37329
Pleasant Grove city, Utah,37294
Haines City city, Florida,37272
Hilliard city, Ohio,37262
Richmond city, Kentucky,37206
Muskegon city, Michigan,37183
Oak Creek city, Wisconsin,37156
Carpentersville village, Illinois,37099
Wildomar city, California,37087
Oswego village, Illinois,37074
North Ridgeville city, Ohio,37058
Plainfield town, Indiana,37047
Leavenworth city, Kansas,37034
Syracuse city, Utah,37022
Redmond city, Oregon,37009
La Porte city, Texas,36991
Tucker city, Georgia,36975
Farmers Branch city, Texas,36917
Greenfield city, Wisconsin,36916
Muskogee city, Oklahoma,36873
Canton city, Georgia,36857
Monrovia city, California,36768
Cookeville city, Tennessee,36657
La Puente city, California,36516
San Juan city, Texas,36448
Richfield city, Minnesota,36445
Pacifica city, California,36426
Martinez city, California,36395
Cibolo city, Texas,36374
Sahuarita town, Arizona,36356
Merrillville town, Indiana,36347
Beloit city, Wisconsin,36342
Salisbury city, North Carolina,36319
Cleburne city, Texas,36209
Hinesville city, Georgia,36181
Hanover Park village, Illinois,36165
Rock Island city, Illinois,36132
Inver Grove Heights city, Minnesota,36114
Lauderdale Lakes city, Florida,36035
Seguin city, Texas,36013
Dunedin city, Florida,35930
El Mirage city, Arizona,35850
Norristown borough, Pennsylvania,35769
Upper Arlington city, Ohio,35743
Texarkana city, Texas,35741
Butte-Silver Bow (balance), Montana,35701
Panama City city, Florida,35660
Mason city, Ohio,35660
Claremont city, California,35640
Fair Lawn borough, New Jersey,35564
Midvale city, Utah,35561
Torrington city, Connecticut,35550
Moorpark city, California,35543
Marion city, Ohio,35531
Wenatchee city, Washington,35526
Franklin city, Wisconsin,35485
Springville city, Utah,35471
Forney city, Texas,35470
Stockbridge city, Georgia,35452
Roseville city, Minnesota,35451
Richmond city, Indiana,35425
Kingman city, Arizona,35334
Erie town, Colorado,35269
Garner town, North Carolina,35265
Mount Vernon city, Washington,35259
Watertown Town city, Massachusetts,35256
Bluffton town, South Carolina,35243
Addison village, Illinois,35167
Gahanna city, Ohio,35159
Brunswick city, Ohio,35072
University Place city, Washington,35049
Crown Point city, Indiana,34884
Temple City city, California,34854
Wildwood city, Missouri,34851
Lewiston city, Idaho,34836
Lima city, Ohio,34794
San Juan Capistrano city, California,34754
Fairborn city, Ohio,34729
Kennesaw city, Georgia,34683
Valparaiso city, Indiana,34627
Long Beach city, New York,34595
Del Rio city, Texas,34574
Manitowoc city, Wisconsin,34568
Holland city, Michigan,34540
Dalton city, Georgia,34508
Randolph Town city, Massachusetts,34487
Clearfield city, Utah,34470
Helena city, Montana,34464
Statesboro city, Georgia,34452
McMinnville city, Oregon,34450
Harker Heights city, Texas,34447
Kearney city, Nebraska,34362
Calumet City city, Illinois,34358
Goshen city, Indiana,34355
West Hollywood city, California,34349
Cooper City city, Florida,34321
Englewood city, Colorado,34275
College Park city, Maryland,34187
Lufkin city, Texas,34181
Alabaster city, Alabama,34107
University City city, Missouri,34096
Leawood city, Kansas,33980
Northbrook village, Illinois,33977
Westlake city, Ohio,33972
Stow city, Ohio,33957
Washington city, Utah,33877
Pleasant Hill city, California,33802
Eastpointe city, Michigan,33676
Fort Mill town, South Carolina,33626
Chester city, Pennsylvania,33595
Opelika city, Alabama,33572
Woodridge village, Illinois,33566
Meridian city, Mississippi,33551
Rochester city, New Hampshire,33519
Gillette city, Wyoming,33496
Dover city, New Hampshire,33485
Goldsboro city, North Carolina,33469
Desert Hot Springs city, California,33438
Oak Ridge city, Tennessee,33397
Manhattan Beach city, California,33369
Walla Walla city, Washington,33339
Petersburg city, Virginia,33309
Gadsden city, Alabama,33229
Deer Park city, Texas,33176
Salisbury city, Maryland,33159
Cornelius town, North Carolina,33139
Franklin Town city, Massachusetts,33125
Sherwood city, Arkansas,33118
San Dimas city, California,33105
Andover city, Minnesota,33089
Savage city, Minnesota,32999
Elizabethtown city, Kentucky,32978
Spring Valley village, New York,32969
Aiken city, South Carolina,32947
Kaysville city, Utah,32941
Florence city, Kentucky,32917
Pullman city, Washington,32863
Long Branch city, New Jersey,32745
Ithaca city, New York,32724
Greenville city, Texas,32717
Goleta city, California,32665
New Smyrna Beach city, Florida,32655
St. Charles city, Illinois,32654
Dana Point city, California,32567
Zionsville town, Indiana,32534
Garfield city, New Jersey,32456
Massillon city, Ohio,32439
Maryville city, Tennessee,32436
Nicholasville city, Kentucky,32425
Glendale Heights village, Illinois,32409
Bethel Park municipality, Pennsylvania,32398
Bella Vista city, Arkansas,32368
Duluth city, Georgia,32350
LaGrange city, Georgia,32343
Eagle city, Idaho,32319
Sachse city, Texas,32294
Fitchburg city, Wisconsin,32284
Brownsburg town, Indiana,32250
New Bern city, North Carolina,32226
Los Gatos town, California,32216
Cottonwood Heights city, Utah,32204
Foster City city, California,32180
Nacogdoches city, Texas,32156
Laramie city, Wyoming,32152
McDonough city, Georgia,32138
Morristown city, Tennessee,32099
Bay City city, Michigan,32082
Sanford city, North Carolina,32064
Atwater city, California,32052
Des Moines city, Washington,31988
O'Fallon city, Illinois,31968
Dania Beach city, Florida,31915
West Bend city, Wisconsin,31886
Bell city, California,31864
Fairbanks city, Alaska,31856
Chamblee city, Georgia,31841
Naugatuck borough, Connecticut,31820
Wheat Ridge city, Colorado,31804
Shawnee city, Oklahoma,31803
SeaTac city, Washington,31799
Santa Paula city, California,31792
Mundelein village, Illinois,31790
Poughkeepsie city, New York,31772
Houma city, Louisiana,31733
Leesburg city, Florida,31721
Morrisville town, North Carolina,31703
Menlo Park city, California,31690
Brooklyn Center city, Minnesota,31688
Banning city, California,31680
Michigan City city, Indiana,31659
Rome city, New York,31652
Waukee city, Iowa,31645
Bangor city, Maine,31628
Juneau city and borough, Alaska,31555
North Olmsted city, Ohio,31538
Carlsbad city, New Mexico,31499
Elk Grove Village village, Illinois,31350
Seaside city, California,31317
Alamogordo city, New Mexico,31284
San Pablo city, California,31249
Miami Lakes town, Florida,31238
Southlake city, Texas,31137
El Paso de Robles (Paso Robles) city, California,31134
Pekin city, Illinois,31126
Northport city, Alabama,31111
Lawrenceville city, Georgia,31015
Beverly Hills city, California,30974
North Attleborough Town city, Massachusetts,30943
Matthews town, North Carolina,30934
Athens city, Alabama,30904
Jackson city, Michigan,30854
Hopkinsville city, Kentucky,30813
Liberty city, Missouri,30794
Harrison village, New York,30780
Bixby city, Oklahoma,30698
North Royalton city, Ohio,30687
Casselberry city, Florida,30595
Port Chester village, New York,30584
Westfield town, New Jersey,30559
Leland town, North Carolina,30542
Paragould city, Arkansas,30520
Lafayette city, Colorado,30439
Morgantown city, West Virginia,30429
North Chicago city, Illinois,30416
Ballwin city, Missouri,30410
Bowling Green city, Ohio,30384
Daphne city, Alabama,30321
Converse city, Texas,30321
Holladay city, Utah,30298
Princeton, New Jersey,30289
Highland Park city, Illinois,30272
Enterprise city, Alabama,30271
Laguna Hills city, California,30243
Statesville city, North Carolina,30220
Clayton town, North Carolina,30216
Gurnee village, Illinois,30193
Newark city, Delaware,30169
Fridley city, Minnesota,30156
Lawndale city, California,30155
Middletown city, New York,30152
Algonquin village, Illinois,30134
Magna metro township, Utah,30087
Hazleton city, Pennsylvania,30037
North Tonawanda city, New York,30031
Los Altos city, California,29990
Anderson city, South Carolina,29980
Gloucester city, Massachusetts,29959
Burlingame city, California,29910
La Verne city, California,29898
Winter Park city, Florida,29894
Kalispell city, Montana,29886
Rahway city, New Jersey,29813
Central city, Louisiana,29781
Atascadero city, California,29700
Schererville town, Indiana,29657
Englewood city, New Jersey,29624
Saratoga city, California,29607
Pooler city, Georgia,29544
Easton city, Pennsylvania,29538
Niles village, Illinois,29513
Independence city, Kentucky,29503
Rockledge city, Florida,29452
Hobart city, Indiana,29408
Laurel city, Maryland,29400
Burton city, Michigan,29376
Northampton city, Massachusetts,29370
Melrose city, Massachusetts,29357
Russellville city, Arkansas,29338
Crestview city, Florida,29300
Texarkana city, Arkansas,29223
Kirkwood city, Missouri,29174
West Melbourne city, Florida,29144
Galesburg city, Illinois,29130
Monterey city, California,29116
Raytown city, Missouri,29097
Jacksonville city, Arkansas,29094
Chaska city, Minnesota,29034
Woodburn city, Oregon,29033
Parkersburg city, West Virginia,29025
Oak Park city, Michigan,29023
Southgate city, Michigan,29002
Fredericksburg city, Virginia,28928
Garfield Heights city, Ohio,28900
San Carlos city, California,28862
Bridgewater Town city, Massachusetts,28818
Suisun City city, California,28743
Twentynine Palms city, California,28734
Jeffersontown city, Kentucky,28716
Lake in the Hills village, Illinois,28661
Alvin city, Texas,28633
Ramsey city, Minnesota,28560
Saratoga Springs city, New York,28544
Shaker Heights city, Ohio,28541
Slidell city, Louisiana,28510
Fountain city, Colorado,28489
Maple Valley city, Washington,28434
West Springfield Town city, Massachusetts,28424
Marysville city, Ohio,28423
Happy Valley city, Oregon,28409
Agawam Town city, Massachusetts,28406
Port Huron city, Michigan,28383
Glen Ellyn village, Illinois,28347
Frankfort city, Kentucky,28285
Eagle Pass city, Texas,28282
Bergenfield borough, New Jersey,28274
Huntley village, Illinois,28269
McHenry city, Illinois,28251
Madison Heights city, Michigan,28238
Newburgh city, New York,28237
Oakdale city, Minnesota,28226
East Palo Alto city, California,28216
Danville city, Illinois,28206
Burbank city, Illinois,28164
Venice city, Florida,28150
Pearl city, Mississippi,28117
Aberdeen city, South Dakota,28110
Marion city, Indiana,28105
Ridgecrest city, California,28088
Kuna city, Idaho,28050
New Lenox village, Illinois,28047
Prior Lake city, Minnesota,28027
Princeton city, Texas,28027
Kernersville town, North Carolina,28016
Mauldin city, South Carolina,28010
Madison city, Mississippi,27987
Conway city, South Carolina,27985
Monroeville municipality, Pennsylvania,27974
Jamestown city, New York,27965
Glen Cove city, New York,27879
Bristol city, Tennessee,27854
Brawley city, California,27849
Union City city, Georgia,27832
Mint Hill town, North Carolina,27815
Carrollton city, Georgia,27793
Lake Jackson city, Texas,27768
Homewood city, Alabama,27758
Henderson city, Kentucky,27734
Mount Pleasant village, Wisconsin,27727
Asheboro city, North Carolina,27726
Lansing village, Illinois,27713
Williston city, North Dakota,27706
Greenville city, Mississippi,27644
Winchester city, Virginia,27617
Fremont city, Nebraska,27602
Kent city, Ohio,27601
Rosemount city, Minnesota,27590
Maryland Heights city, Missouri,27575
Marshalltown city, Iowa,27574
Lemon Grove city, California,27569
New London city, Connecticut,27560
Jenks city, Oklahoma,27553
Allen Park city, Michigan,27528
Dodge City city, Kansas,27514
Simpsonville city, South Carolina,27506
Anna city, Texas,27501
Williamsport city, Pennsylvania,27470
Neenah city, Wisconsin,27453
Thomasville city, North Carolina,27435
Tualatin city, Oregon,27383
Garden City city, Kansas,27371
Millville city, New Jersey,27358
Elk River city, Minnesota,27342
Hamtramck city, Michigan,27339
Green city, Ohio,27338
Gladstone city, Missouri,27329
Camas city, Washington,27254
Tumwater city, Washington,27239
Cabot city, Arkansas,27190
Palm Springs village, Florida,27132
Walnut city, California,27104
New Iberia city, Louisiana,27080
Wooster city, Ohio,27030
Wilmette village, Illinois,27026
Oxford city, Mississippi,27008
Temple Terrace city, Florida,26972
Lindenhurst village, New York,26972
Wasco city, California,26917
Granite City city, Illinois,26908
Mason City city, Iowa,26906
Troy city, Ohio,26848
Sebastian city, Florida,26846
South Portland city, Maine,26840
Lemoore city, California,26809
Forest Grove city, Oregon,26799
Round Lake Beach village, Illinois,26783
Trussville city, Alabama,26770
Bridgeton city, New Jersey,26763
Paducah city, Kentucky,26749
Balch Springs city, Texas,26711
Edwardsville city, Illinois,26698
Clinton city, Mississippi,26698
Vernon Hills village, Illinois,26677
West Linn city, Oregon,26629
Belmont city, California,26622
Hercules city, California,26582
Ossining village, New York,26542
Lockport city, Illinois,26537
Owatonna city, Minnesota,26534
Horn Lake city, Mississippi,26468
Benicia city, California,26429
Superior city, Wisconsin,26423
Plum borough, Pennsylvania,26391
Yukon city, Oklahoma,26388
Moscow city, Idaho,26387
Easley city, South Carolina,26386
Lebanon city, Pennsylvania,26378
Shoreview city, Minnesota,26374
Katy city, Texas,26360
Wilsonville city, Oregon,26345
Sanger city, California,26343
Denison city, Texas,26343
Garden City city, Michigan,26325
Moses Lake city, Washington,26299
Paramus borough, New Jersey,26282
Batavia city, Illinois,26235
Derby city, Kansas,26233
Wheeling city, West Virginia,26208
Oak Forest city, Illinois,26199
Ridgewood village, New Jersey,26194
Chicago Heights city, Illinois,26184
Elmira city, New York,26176
Austin city, Minnesota,26171
Norfolk city, Nebraska,26147
South Salt Lake city, Utah,26122
Newberg city, Oregon,26095
Winona city, Minnesota,26029
Auburn city, New York,25983
Reedley city, California,25958
Avon Lake city, Ohio,25942
Chanhassen city, Minnesota,25937
Greenfield city, Indiana,25920
Staunton city, Virginia,25915
Franklin city, Indiana,25908
North Augusta city, South Carolina,25891
Sugar Hill city, Georgia,25889
Medina city, Ohio,25889
Tarpon Springs city, Florida,25872
Dinuba city, California,25863
Lodi borough, New Jersey,25832
East Chicago city, Indiana,25830
Windsor town, California,25828
Farmington city, Utah,25771
Galt city, California,25767
Centerville city, Ohio,25754
Stevens Point city, Wisconsin,25752
Colleyville city, Texas,25736
Eureka city, California,25734
Xenia city, Ohio,25725
Brandon city, Mississippi,25719
Woodstock city, Illinois,25699
Corsicana city, Texas,25671
South Pasadena city, California,25623
Salem city, Virginia,25600
Auburn Hills city, Michigan,25597
Farragut town, Tennessee,25579
Rockville Centre village, New York,25578
Cliffside Park borough, New Jersey,25570
El Cerrito city, California,25552
Belton city, Missouri,25534
Mequon city, Wisconsin,25489
Imperial Beach city, California,25458
Starkville city, Mississippi,25444
Peekskill city, New York,25442
Grandview city, Missouri,25436
Nixa city, Missouri,25405
Avon city, Ohio,25403
Norco city, California,25398
Gardner city, Kansas,25378
De Pere city, Wisconsin,25348
Caledonia village, Wisconsin,25326
Muskego city, Wisconsin,25312
Raymore city, Missouri,25306
Belvidere city, Illinois,25297
Walker city, Michigan,25289
Carteret borough, New Jersey,25281
Pickerington city, Ohio,25256
Ottumwa city, Iowa,25252
Perrysburg city, Ohio,25236
Belton city, Texas,25171
Fairfax city, Virginia,25144
Saginaw city, Texas,25139
Shelbyville city, Tennessee,25132
Dickinson city, North Dakota,25130
Pelham city, Alabama,25121
West Chicago city, Illinois,25116
Loma Linda city, California,25111
Key West city, Florida,25103
Patterson city, California,25063
Inkster city, Michigan,25056
Lafayette city, California,25048
Bessemer city, Alabama,25037
Middletown town, Delaware,25022
Alton city, Illinois,25006
Norton Shores city, Michigan,25005
Riverbank city, California,25001
Fairhope city, Alabama,24974
Paris city, Texas,24969
Barstow city, California,24964
University Park city, Texas,24954
Cartersville city, Georgia,24937
Herndon town, Virginia,24935
Kerrville city, Texas,24930
Lexington town, South Carolina,24921
Hastings city, Nebraska,24896
Foley city, Alabama,24873
Hazelwood city, Missouri,24863
Ardmore city, Oklahoma,24847
Auburn city, Maine,24793
Fernley city, Nevada,24744
Mercer Island city, Washington,24742
Newport city, Rhode Island,24717
Wadsworth city, Ohio,24709
Romulus city, Michigan,24702
Yorkville city, Illinois,24693
Athens city, Ohio,24673
Zanesville city, Ohio,24651
Faribault city, Minnesota,24642
Johnston city, Iowa,24640
Fate city, Texas,24626
Fort Dodge city, Iowa,24591
Mandan city, North Dakota,24586
Kingsville city, Texas,24586
Barberton city, Ohio,24563
Homer Glen village, Illinois,24546
San Benito city, Texas,24493
Selma city, California,24467
Columbus city, Nebraska,24464
Ridgeland city, Mississippi,24459
Eustis city, Florida,24457
Greenbelt city, Maryland,24360
Seal Beach city, California,24352
Riverside city, Ohio,24340
Benbrook city, Texas,24336
Brookings city, South Dakota,24312
Decatur city, Georgia,24307
Ponca City city, Oklahoma,24306
Florence town, Arizona,24291
South Elgin village, Illinois,24277
Palmetto Bay village, Florida,24264
Bainbridge Island city, Washington,24254
Sandusky city, Ohio,24241
Clinton city, Iowa,24239
Avon town, Indiana,24231
Zion city, Illinois,24206
Horizon City city, Texas,24168
Willoughby city, Ohio,24163
Watertown city, New York,24157
Van Buren city, Arkansas,24138
Royse City city, Texas,24138
Morton Grove village, Illinois,24131
South Plainfield borough, New Jersey,24131
Marshall city, Texas,24118
Emporia city, Kansas,24105
Wyandotte city, Michigan,24057
Payson city, Utah,24054
Griffin city, Georgia,24044
Perry city, Georgia,24029
Oak Harbor city, Washington,24016
West Haven city, Utah,24014
Glassboro borough, New Jersey,23987
Hurricane city, Utah,23959
Centerton city, Arkansas,23953
Soledad city, California,23947
Westmont village, Illinois,23933
Farmington city, Minnesota,23909
Roseburg city, Oregon,23861
West Memphis city, Arkansas,23825
Maywood city, California,23824
Searcy city, Arkansas,23813
Papillion city, Nebraska,23791
Collinsville city, Illinois,23779
Kingston city, New York,23777
Corinth city, Texas,23707
Solon city, Ohio,23702
Ennis city, Texas,23686
Melrose Park village, Illinois,23666
St. John town, Indiana,23644
Edgewater city, Florida,23636
Groveland city, Florida,23628
Munster town, Indiana,23614
Fountain Hills town, Arizona,23611
Coralville city, Iowa,23596
Clinton city, Utah,23588
Melissa city, Texas,23571
Burlington city, Iowa,23565
North Salt Lake city, Utah,23560
Highland town, Indiana,23525
Kankakee city, Illinois,23503
Webster Groves city, Missouri,23449
Jacksonville Beach city, Florida,23447
Kenmore city, Washington,23391
Elmwood Park village, Illinois,23369
San Fernando city, California,23364
White Bear Lake city, Minnesota,23363
Pottstown borough, Pennsylvania,23349
Muscatine city, Iowa,23341
Loves Park city, Illinois,23335
Rolling Meadows city, Illinois,23329
Mustang city, Oklahoma,23270
Otsego city, Minnesota,23241
Watertown city, South Dakota,23230
Lisle village, Illinois,23222
DeBary city, Florida,23209
Waynesboro city, Virginia,23182
Duncan city, Oklahoma,23170
Freeport city, Illinois,23136
Duarte city, California,23131
Waxhaw town, North Carolina,23073
Oakdale city, California,23045
Columbus city, Mississippi,23035
Albertville city, Alabama,23031
Maple Heights city, Ohio,22984
Sapulpa city, Oklahoma,22981
Hudson city, Ohio,22968
Middleton city, Wisconsin,22967
Rock Springs city, Wyoming,22954
Trotwood city, Ohio,22940
Watauga city, Texas,22934
Keene city, New Hampshire,22917
Suwanee city, Georgia,22913
Ozark city, Missouri,22907
Prairie Village city, Kansas,22900
Maywood village, Illinois,22880
Champlin city, Minnesota,22856
Garden City village, New York,22835
Bonney Lake city, Washington,22835
Marina city, California,22833
Mesquite city, Nevada,22786
Hopewell city, Virginia,22752
Radcliff city, Kentucky,22749
Portsmouth city, New Hampshire,22733
Watertown city, Wisconsin,22692
Machesney Park village, Illinois,22630
North Plainfield borough, New Jersey,22566
Central Falls city, Rhode Island,22543
Christiansburg town, Virginia,22542
Hammond city, Louisiana,22527
North Platte city, Nebraska,22523
Roselle village, Illinois,22508
Greenwood city, South Carolina,22498
La Porte city, Indiana,22486
Acworth city, Georgia,22379
Lino Lakes city, Minnesota,22376
Big Spring city, Texas,22373
Biddeford city, Maine,22367
Summit city, New Jersey,22344
Roselle borough, New Jersey,22342
Carlisle borough, Pennsylvania,22341
Oxford city, Ohio,22340
Laguna Beach city, California,22332
Evans city, Colorado,22326
Bloomingdale village, Illinois,22298
Hialeah Gardens city, Florida,22286
Battle Ground city, Washington,22285
Columbia Heights city, Minnesota,22278
Sanford city, Maine,22251
Chambersburg borough, Pennsylvania,22245
Ruston city, Louisiana,22233
North Ogden city, Utah,22233
New Brighton city, Minnesota,22228
Calabasas city, California,22227
Clarksville town, Indiana,22208
Clemmons village, North Carolina,22159
Hastings city, Minnesota,22121
Helena city, Alabama,22117
Millbrae city, California,22087
Sedalia city, Missouri,22086
Oxford city, Alabama,22078
Snellville city, Georgia,22067
Corcoran city, California,22044
East Peoria city, Illinois,22012
Shelby city, North Carolina,22010
East Ridge city, Tennessee,21961
Montgomery village, Illinois,21955
Stephenville city, Texas,21946
Shafter city, California,21915
Crystal city, Minnesota,21906
Chillicothe city, Ohio,21895
Klamath Falls city, Oregon,21888
Sunny Isles Beach city, Florida,21885
Bryant city, Arkansas,21877
Junction City city, Kansas,21856
Dickinson city, Texas,21834
Pleasant Prairie village, Wisconsin,21818
Hanahan city, South Carolina,21796
Boerne city, Texas,21774
Mountain Brook city, Alabama,21737
Villa Park village, Illinois,21727
Cudahy city, California,21723
West St. Paul city, Minnesota,21722
Lebanon city, Ohio,21699
Darien city, Illinois,21698
Altoona city, Iowa,21698
Lindenwold borough, New Jersey,21685
Seymour city, Indiana,21666
Yucca Valley town, California,21664
Milwaukie city, Oregon,21594
Carbondale city, Illinois,21592
Imperial city, California,21591
Pascagoula city, Mississippi,21582
Alliance city, Ohio,21525
Mountlake Terrace city, Washington,21516
Blue Island city, Illinois,21494
Terrell city, Texas,21480
Birmingham city, Michigan,21434
New Castle city, Pennsylvania,21413
American Canyon city, California,21347
North Liberty city, Iowa,21345
Willmar city, Minnesota,21335
Montrose city, Colorado,21333
Del City city, Oklahoma,21312
South Euclid city, Ohio,21264
Elmwood Park borough, New Jersey,21256
Rocky River city, Ohio,21236
Port Hueneme city, California,21217
Golden Valley city, Minnesota,21211
Arlington city, Washington,21206
Mineola village, New York,21169
Anniston city, Alabama,21167
Ashland city, Kentucky,21154
Tukwila city, Washington,21135
Alton city, Texas,21130
Geneva city, Illinois,21129
Covington city, Washington,21125
Carrboro town, North Carolina,21103
South Lake Tahoe city, California,21079
Marquette city, Michigan,21079
Tavares city, Florida,21061
Ashland city, Oregon,21061
Arnold city, Missouri,21059
South Burlington city, Vermont,21043
Hays city, Kansas,21040
St. Michael city, Minnesota,21034
Northfield city, Minnesota,21020
Germantown village, Wisconsin,21020
Culpeper town, Virginia,21012
Mukilteo city, Washington,21011
Secaucus town, New Jersey,21005
Tullahoma city, Tennessee,21001
Gardner city, Massachusetts,20974
Saco city, Maine,20960
Grayslake village, Illinois,20954
Fort Walton Beach city, Florida,20925
Murphy city, Texas,20920
Frankfort village, Illinois,20907
Zephyrhills city, Florida,20883
Mount Pleasant city, Michigan,20859
East Moline city, Illinois,20806
Elko city, Nevada,20785
Howard village, Wisconsin,20775
Park Forest village, Illinois,20763
Piqua city, Ohio,20747
Murrysville municipality, Pennsylvania,20745
Mill Creek city, Washington,20742
Baldwin borough, Pennsylvania,20708
New Hope city, Minnesota,20705
Forest Lake city, Minnesota,20685
South St. Paul city, Minnesota,20664
Hyattsville city, Maryland,20662
Greenfield city, California,20634
Pleasantville city, New Jersey,20613
Shelbyville city, Indiana,20609
Painesville city, Ohio,20605
Bartow city, Florida,20584
Morristown town, New Jersey,20571
Westbrook city, Maine,20564
Westminster city, Maryland,20536
Harrison town, New Jersey,20520
Pittsburg city, Kansas,20504
Lynn Haven city, Florida,20501
South Holland village, Illinois,20483
Portland city, Texas,20481
Alamo city, Texas,20460
Gallup city, New Mexico,20451
Lockport city, New York,20436
Parma Heights city, Ohio,20431
Rolla city, Missouri,20423
Dolton village, Illinois,20410
Sulphur city, Louisiana,20400
Louisville city, Colorado,20390
Claremore city, Oklahoma,20385
Bethany city, Oklahoma,20369
Sweetwater city, Florida,20352
Kingsland city, Georgia,20343
Libertyville village, Illinois,20332
Sidney city, Ohio,20309
North Myrtle Beach city, South Carolina,20303
Durant city, Oklahoma,20296
Knightdale town, North Carolina,20275
Golden city, Colorado,20242
Adrian city, Michigan,20238
Punta Gorda city, Florida,20227
Highland city, Utah,20217
Mebane city, North Carolina,20212
South Milwaukee city, Wisconsin,20211
Manor city, Texas,20209
Angleton city, Texas,20206
Vicksburg city, Mississippi,20192
Santa Fe Springs city, California,20174
Republic city, Missouri,20144
Crest Hill city, Illinois,20118
Palisades Park borough, New Jersey,20102
Port Angeles city, Washington,20101
Monroe city, Michigan,20089
Fayetteville city, Georgia,20083
Sand Springs city, Oklahoma,20075
Lynbrook village, New York,20071
Universal City city, Texas,20028
Auburndale city, Florida,20011
Sherwood city, Oregon,19957
Forest Park city, Ohio,19839
Mayfield Heights city, Ohio,19793
Lomita city, California,19782
Whitehall city, Ohio,19727
La Cañada Flintridge city, California,19538
Mamaroneck village, New York,19533
Agoura Hills city, California,19474
Oroville city, California,19449
Monroe city, Washington,19447
Plainview city, Texas,19420
Harvey city, Illinois,19397
Ypsilanti city, Michigan,19393
Albany city, California,19097
Coronado city, California,18437
